I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
180, 639, 458, -409, -139, 549, -1254, -1839, -1639, 102, 331, 575, 
112, 614, 502, -363, -195, 558, -1122, -1639, -1454, 122, 346, 575, 
78, 600, 522, -339, -222, 561, -995, -1449, -1278, 151, 356, 575, 
48, 566, 517, -307, -234, 541, -883, -1273, -1122, 151, 341, 556, 
19, 517, 497, -268, -239, 507, -780, -1122, -990, 122, 297, 497, 
-4, 478, 483, -236, -244, 480, -692, -980, -863, 97, 244, 444, 
-24, 439, 463, -207, -244, 451, -605, -868, -756, 78, 204, 390, 
-39, 395, 434, -178, -236, 414, -522, -751, -653, 73, 175, 346, 
-39, 336, 375, -148, -207, 356, -434, -614, -541, 58, 151, 317, 
-39, 312, 351, -136, -195, 331, -361, -502, -458, 24, 126, 278, 
-39, 278, 317, -119, -178, 297, -312, -429, -385, 19, 102, 253, 
-48, 234, 283, -92, -165, 258, -248, -336, -297, 34, 82, 234, 
-68, 190, 258, -61, -163, 224, -175, -239, -214, 34, 63, 185, 
-68, 170, 239, -51, -153, 204, -141, -180, -165, 29, 43, 146, 
-63, 151, 214, -43, -139, 183, -107, -122, -122, 24, 19, 122, 
-53, 112, 165, -29, -109, 139, -68, -53, -58, 24, 4, 87, 
-48, 78, 126, -14, -87, 102, -19, 9, -4, 9, -9, 68, 
-29, 53, 82, -12, -56, 68, 19, 68, 39, -4, -24, 39, 
-19, 19, 39, 0, -29, 29, 48, 122, 78, -9, -34, 24, 
-24, -14, 9, 19, -17, -2, 73, 170, 117, -19, -53, 4, 
-19, -43, -24, 31, 2, -34, 87, 195, 141, -34, -53, -4, 
-4, -63, -58, 34, 26, -61, 92, 219, 156, -48, -58, -9, 
9, -78, -87, 34, 48, -82, 102, 224, 161, -58, -58, -9, 
9, -78, -87, 34, 48, -82, 97, 229, 161, -53, -73, -14, 
9, -92, -102, 41, 56, -97, 107, 234, 161, -39, -73, -14, 
4, -92, -97, 43, 51, -95, 117, 239, 170, -34, -78, -14, 
0, -92, -92, 46, 46, -92, 117, 248, 175, -34, -82, -14, 
-4, -92, -87, 48, 41, -90, 117, 253, 175, -29, -82, -14, 
-4, -87, -82, 46, 39, -85, 112, 258, 180, -39, -92, -29, 
-4, -92, -87, 48, 41, -90, 112, 258, 190, -39, -102, -34, 
-4, -92, -87, 48, 41, -90, 112, 258, 190, -48, -102, -39, 
-4, -92, -87, 48, 41, -90, 117, 258, 190, -48, -102, -48, 
-14, -107, -92, 61, 39, -100, 117, 258, 180, -43, -97, -43, 
-14, -112, -97, 63, 41, -104, 122, 263, 180, -43, -92, -43, 
-24, -117, -92, 70, 34, -104, 122, 268, 180, -48, -82, -48, 
-24, -117, -92, 70, 34, -104, 122, 268, 180, -48, -78, -48, 
-14, -117, -102, 65, 43, -109, 122, 258, 180, -63, -107, -58, 
-14, -122, -107, 68, 46, -114, 122, 258, 180, -68, -117, -63, 
-14, -122, -107, 68, 46, -114, 122, 253, 180, -78, -126, -63, 
-14, -122, -107, 68, 46, -114, 122, 253, 180, -82, -141, -63, 
-14, -112, -97, 63, 41, -104, 122, 258, 180, -87, -151, -63, 
-9, -112, -102, 61, 46, -107, 122, 258, 180, -92, -151, -63, 
-9, -112, -102, 61, 46, -107, 122, 258, 180, -97, -151, -63, 
-9, -112, -102, 61, 46, -107, 126, 258, 190, -102, -151, -58, 
-9, -107, -97, 58, 43, -102, 126, 253, 180, -82, -131, -48, 
-9, -107, -97, 58, 43, -102, 122, 253, 180, -78, -122, -48, 
-14, -107, -92, 61, 39, -100, 122, 253, 180, -68, -112, -48, 
-14, -107, -92, 61, 39, -100, 117, 253, 180, -63, -97, -53, 
-14, -112, -97, 63, 41, -104, 117, 263, 190, -73, -97, -53, 
-14, -112, -97, 63, 41, -104, 117, 263, 190, -78, -97, -53, 
-24, -112, -87, 68, 31, -100, 122, 268, 195, -78, -92, -48, 
-24, -112, -87, 68, 31, -100, 122, 268, 200, -73, -87, -48, 
-34, -102, -68, 68, 17, -85, 122, 273, 190, -73, -102, -53, 
-34, -112, -78, 73, 21, -95, 122, 273, 190, -73, -112, -63, 
-34, -117, -82, 75, 24, -100, 117, 278, 195, -73, -117, -68, 
-29, -117, -87, 73, 29, -102, 117, 278, 195, -73, -122, -78, 
-19, -126, -107, 73, 43, -117, 117, 278, 204, -73, -122, -78, 
-19, -126, -107, 73, 43, -117, 117, 283, 204, -73, -122, -78, 
-14, -126, -112, 70, 48, -119, 117, 287, 204, -73, -117, -73, 
-14, -122, -107, 68, 46, -114, 117, 287, 209, -73, -112, -73, 
-9, -112, -102, 61, 46, -107, 117, 297, 209, -87, -117, -63, 
-9, -107, -97, 58, 43, -102, 117, 297, 209, -87, -112, -63, 
-19, -107, -87, 63, 34, -97, 117, 302, 214, -82, -112, -58, 
-19, -107, -87, 63, 34, -97, 117, 307, 214, -82, -112, -58, 
-24, -117, -92, 70, 34, -104, 126, 307, 219, -73, -112, -48, 
-24, -117, -92, 70, 34, -104, 126, 312, 224, -73, -107, -43, 
-24, -117, -92, 70, 34, -104, 126, 312, 224, -73, -92, -43, 
-24, -117, -92, 70, 34, -104, 131, 322, 234, -63, -82, -48, 
-34, -117, -82, 75, 24, -100, 126, 317, 239, -48, -82, -58, 
-34, -112, -78, 73, 21, -95, 126, 322, 244, -43, -87, -53, 
-43, -112, -68, 78, 12, -90, 126, 322, 244, -39, -87, -53, 
-48, -122, -73, 85, 12, -97, 126, 322, 244, -34, -87, -53, 
-58, -112, -53, 85, -2, -82, 122, 336, 253, -39, -97, -53, 
-53, -112, -58, 82, 2, -85, 122, 341, 258, -43, -92, -53, 
-48, -102, -53, 75, 2, -78, 122, 351, 263, -53, -92, -53, 
-48, -102, -53, 75, 2, -78, 122, 356, 273, -58, -92, -53, 
-43, -92, -48, 68, 2, -70, 131, 370, 287, -63, -102, -48, 
-34, -87, -53, 61, 9, -70, 131, 380, 297, -58, -97, -39, 
-19, -78, -58, 48, 19, -68, 131, 390, 312, -48, -87, -34, 
-9, -73, -63, 41, 26, -68, 141, 405, 326, -48, -82, -29, 
-19, -78, -58, 48, 19, -68, 156, 424, 336, -39, -92, -39, 
-19, -78, -58, 48, 19, -68, 161, 439, 351, -24, -92, -39, 
-19, -78, -58, 48, 19, -68, 170, 458, 366, -14, -92, -43, 
-14, -73, -58, 43, 21, -65, 180, 478, 385, -4, -92, -43, 
-14, -73, -58, 43, 21, -65, 190, 492, 390, -14, -82, -34, 
-9, -73, -63, 41, 26, -68, 190, 512, 400, -14, -82, -34, 
-9, -68, -58, 39, 24, -63, 204, 522, 409, -14, -82, -34, 
-19, -68, -48, 43, 14, -58, 204, 536, 429, -14, -82, -34, 
-9, -63, -53, 36, 21, -58, 214, 556, 439, -4, -92, -34, 
-9, -63, -53, 36, 21, -58, 214, 570, 448, -4, -92, -34, 
-4, -63, -58, 34, 26, -61, 229, 585, 463, -4, -92, -34, 
-4, -63, -58, 34, 26, -61, 234, 600, 473, -4, -92, -34, 
-9, -63, -53, 36, 21, -58, 239, 614, 497, -9, -82, -39, 
-9, -63, -53, 36, 21, -58, 253, 634, 512, -9, -82, -39, 
-14, -63, -48, 39, 17, -56, 263, 658, 527, -9, -82, -39, 
-14, -68, -53, 41, 19, -61, 268, 668, 536, -9, -87, -39, 
-14, -78, -63, 46, 24, -70, 278, 683, 541, -4, -78, -29, 
-14, -78, -63, 46, 24, -70, 287, 697, 551, 0, -68, -29, 
-14, -82, -68, 48, 26, -75, 292, 712, 566, 4, -58, -29, 
-14, -82, -68, 48, 26, -75, 302, 722, 580, 4, -48, -29, 
-14, -82, -68, 48, 26, -75, 312, 727, 585, -4, -53, -29, 
-14, -82, -68, 48, 26, -75, 317, 741, 605, 9, -53, -29, 
-14, -82, -68, 48, 26, -75, 326, 756, 614, 9, -53, -29, 
-19, -82, -63, 51, 21, -73, 331, 766, 619, 4, -58, -29, 
-29, -73, -43, 51, 7, -58, 336, 766, 619, 4, -63, -34, 
-29, -78, -48, 53, 9, -63, 346, 771, 629, 4, -63, -34, 
-29, -78, -48, 53, 9, -63, 356, 780, 634, 4, -63, -34, 
-24, -78, -53, 51, 14, -65, 366, 785, 644, 4, -63, -34, 
-34, -73, -39, 53, 2, -56, 370, 795, 653, -9, -73, -39, 
-39, -73, -34, 56, -2, -53, 375, 800, 658, -14, -78, -43, 
-39, -73, -34, 56, -2, -53, 375, 800, 658, -19, -82, -48, 
-34, -73, -39, 53, 2, -56, 385, 805, 663, -24, -92, -48, 
-34, -63, -29, 48, -2, -46, 390, 805, 663, -14, -92, -58, 
-39, -63, -24, 51, -7, -43, 390, 805, 663, -14, -92, -63, 
-39, -63, -24, 51, -7, -43, 390, 805, 653, -19, -92, -63, 
-39, -63, -24, 51, -7, -43, 390, 805, 644, -19, -87, -63, 
-34, -63, -29, 48, -2, -46, 400, 800, 649, -14, -82, -63, 
-34, -63, -29, 48, -2, -46, 400, 795, 644, 0, -78, -58, 
-29, -63, -34, 46, 2, -48, 400, 780, 644, 24, -68, -58, 
-19, -58, -39, 39, 9, -48, 395, 756, 624, 39, -63, -58, 
-24, -48, -24, 36, 0, -36, 395, 741, 614, 24, -63, -48, 
-24, -48, -24, 36, 0, -36, 390, 717, 595, 14, -68, -43, 
-24, -48, -24, 36, 0, -36, 380, 697, 575, 4, -73, -39, 
-19, -48, -29, 34, 4, -39, 370, 668, 556, -9, -78, -39, 
-9, -53, -43, 31, 17, -48, 351, 649, 541, 0, -82, -39, 
-4, -48, -43, 26, 19, -46, 341, 614, 512, 0, -78, -39, 
0, -43, -43, 21, 21, -43, 326, 580, 488, 0, -82, -39, 
0, -39, -39, 19, 19, -39, 307, 551, 453, -4, -92, -39, 
9, -29, -39, 9, 24, -34, 283, 512, 424, 0, -82, -48, 
9, -24, -34, 7, 21, -29, 273, 478, 400, 4, -82, -43, 
9, -24, -34, 7, 21, -29, 263, 448, 370, 9, -78, -43, 
19, -14, -34, -2, 26, -24, 248, 419, 346, 14, -73, -43, 
29, -9, -39, -9, 34, -24, 229, 390, 322, 9, -58, -29, 
29, -4, -34, -12, 31, -19, 209, 366, 297, 4, -58, -19, 
29, 0, -29, -14, 29, -14, 195, 336, 273, 0, -58, -4, 
29, 4, -24, -17, 26, -9, 180, 312, 253, -4, -53, 4, 
19, 0, -19, -9, 19, -9, 170, 292, 234, -19, -43, 9, 
19, 0, -19, -9, 19, -9, 161, 268, 219, -24, -34, 14, 
19, 0, -19, -9, 19, -9, 151, 244, 200, -29, -29, 19, 
14, 0, -14, -7, 14, -7, 146, 229, 185, -34, -24, 29, 
14, 9, -4, -12, 9, 2, 131, 204, 165, -24, -29, 29, 
19, 9, -9, -14, 14, 0, 122, 190, 151, -14, -29, 29, 
19, 9, -9, -14, 14, 0, 112, 175, 141, -4, -29, 29, 
19, 9, -9, -14, 14, 0, 97, 165, 131, 4, -29, 29, 
19, 9, -9, -14, 14, 0, 97, 156, 122, 9, -39, 19, 
19, 9, -9, -14, 14, 0, 97, 146, 112, 24, -39, 19, 
19, 4, -14, -12, 17, -4, 87, 141, 102, 34, -39, 19, 
14, 4, -9, -9, 12, -2, 87, 126, 97, 39, -39, 19, 
14, 4, -9, -9, 12, -2, 73, 122, 87, 29, -43, 24, 
14, 4, -9, -9, 12, -2, 73, 117, 82, 19, -43, 24, 
14, 4, -9, -9, 12, -2, 68, 112, 78, 14, -43, 24, 
14, 4, -9, -9, 12, -2, 63, 107, 78, 4, -48, 24, 
19, -4, -24, -7, 21, -14, 68, 107, 78, 14, -39, 34, 
19, -4, -24, -7, 21, -14, 63, 102, 68, 9, -29, 34, 
14, -4, -19, -4, 17, -12, 63, 102, 68, 9, -24, 34, 
14, -4, -19, -4, 17, -12, 68, 102, 68, 9, -14, 34, 
19, 4, -14, -12, 17, -4, 58, 97, 63, 9, -19, 29, 
19, 0, -19, -9, 19, -9, 53, 92, 63, 14, -24, 24, 
19, 0, -19, -9, 19, -9, 53, 87, 63, 14, -29, 19, 
9, 4, -4, -7, 7, 0, 48, 87, 58, 14, -34, 19, 
19, -4, -24, -7, 21, -14, 58, 97, 58, 4, -34, 19, 
19, -4, -24, -7, 21, -14, 58, 97, 53, 4, -39, 14, 
19, -4, -24, -7, 21, -14, 58, 97, 53, 0, -43, 14, 
19, 0, -19, -9, 19, -9, 58, 97, 53, -9, -58, 14, 
19, 0, -19, -9, 19, -9, 48, 87, 53, -24, -39, 4, 
19, 0, -19, -9, 19, -9, 48, 82, 48, -24, -39, 4, 
19, 0, -19, -9, 19, -9, 53, 82, 48, -29, -39, 4, 
19, 0, -19, -9, 19, -9, 53, 87, 48, -29, -39, 4, 
9, 4, -4, -7, 7, 0, 53, 97, 58, -24, -34, 14, 
9, -4, -14, -2, 12, -9, 53, 97, 63, -19, -29, 24, 
9, -4, -14, -2, 12, -9, 53, 97, 63, -19, -24, 34, 
14, -4, -19, -4, 17, -12, 43, 102, 63, -19, -19, 43, 
9, 4, -4, -7, 7, 0, 34, 92, 63, -9, -24, 43, 
9, 0, -9, -4, 9, -4, 34, 92, 63, -9, -29, 43, 
9, 0, -9, -4, 9, -4, 34, 92, 63, -9, -34, 43, 
9, -4, -14, -2, 12, -9, 34, 92, 63, -9, -39, 43, 
19, -4, -24, -7, 21, -14, 34, 102, 53, 0, -43, 29, 
19, -9, -29, -4, 24, -19, 34, 102, 53, 4, -43, 24, 
19, -9, -29, -4, 24, -19, 34, 107, 58, 9, -43, 24, 
24, -4, -29, -9, 26, -17, 34, 107, 58, 14, -43, 19, 
34, -14, -48, -9, 41, -31, 29, 107, 58, 14, -43, 19, 
34, -14, -48, -9, 41, -31, 29, 107, 58, 9, -43, 19, 
34, -14, -48, -9, 41, -31, 29, 107, 63, 9, -43, 19, 
34, -14, -48, -9, 41, -31, 34, 107, 63, 9, -43, 19, 
39, -4, -43, -17, 41, -24, 34, 107, 63, 4, -53, 9, 
39, -9, -48, -14, 43, -29, 34, 117, 63, -4, -58, 4, 
39, -9, -48, -14, 43, -29, 34, 117, 63, -14, -63, 0, 
39, -9, -48, -14, 43, -29, 29, 117, 63, -19, -73, -4, 
39, -19, -58, -9, 48, -39, 19, 117, 63, -9, -68, -9, 
39, -19, -58, -9, 48, -39, 19, 117, 63, -9, -68, -9, 
43, -19, -63, -12, 53, -41, 19, 112, 63, -9, -63, -9, 
48, -19, -68, -14, 58, -43, 19, 107, 63, -9, -58, -4, 
48, -9, -58, -19, 53, -34, 29, 112, 63, -19, -58, 0, 
43, -14, -58, -14, 51, -36, 29, 112, 63, -19, -58, 0, 
39, -14, -53, -12, 46, -34, 29, 112, 63, -14, -58, 0, 
34, -19, -53, -7, 43, -36, 29, 112, 63, -14, -63, 0, 
34, -24, -58, -4, 46, -41, 39, 122, 58, -29, -73, -4, 
34, -29, -63, -2, 48, -46, 34, 122, 53, -34, -73, -9, 
34, -34, -68, 0, 51, -51, 29, 122, 48, -39, -73, -14, 
34, -34, -68, 0, 51, -51, 29, 122, 48, -43, -73, -14, 
29, -34, -63, 2, 46, -48, 24, 117, 48, -48, -78, -14, 
24, -29, -53, 2, 39, -41, 24, 112, 48, -48, -78, -14, 
19, -29, -48, 4, 34, -39, 19, 107, 48, -48, -82, -14, 
9, -29, -39, 9, 24, -34, 19, 102, 43, -53, -82, -14, 
19, -34, -53, 7, 36, -43, 19, 102, 39, -39, -78, -4, 
19, -43, -63, 12, 41, -53, 19, 97, 39, -34, -68, -4, 
14, -53, -68, 19, 41, -61, 19, 97, 39, -24, -48, -4, 
14, -58, -73, 21, 43, -65, 24, 102, 39, -9, -39, -4, 
9, -48, -58, 19, 34, -53, 34, 112, 43, -14, -48, -4, 
9, -48, -58, 19, 34, -53, 34, 112, 43, -14, -53, -9, 
14, -48, -63, 17, 39, -56, 34, 112, 43, -19, -58, -14, 
14, -48, -63, 17, 39, -56, 39, 112, 43, -24, -68, -24, 
4, -48, -53, 21, 29, -51, 34, 112, 34, -43, -78, -14, 
0, -48, -48, 24, 24, -48, 34, 112, 34, -53, -78, -14, 
0, -53, -53, 26, 26, -53, 29, 112, 29, -63, -78, -14, 
0, -63, -63, 31, 31, -63, 29, 112, 29, -73, -82, -14, 
9, -53, -63, 21, 36, -58, 39, 107, 34, -82, -92, -14, 
0, -63, -63, 31, 31, -63, 39, 112, 43, -68, -87, -4, 
0, -63, -63, 31, 31, -63, 48, 112, 43, -68, -97, 0, 
-9, -68, -58, 39, 24, -63, 48, 117, 39, -68, -117, -19, 
-9, -73, -63, 41, 26, -68, 39, 117, 29, -78, -126, -34, 
-9, -78, -68, 43, 29, -73, 39, 117, 29, -78, -126, -39, 
-9, -82, -73, 46, 31, -78, 39, 117, 29, -78, -126, -43, 
-9, -87, -78, 48, 34, -82, 39, 117, 29, -78, -126, -48, 
0, -87, -87, 43, 43, -87, 29, 117, 34, -73, -107, -48, 
0, -87, -87, 43, 43, -87, 29, 117, 34, -68, -102, -48, 
14, -82, -97, 34, 56, -90, 24, 117, 34, -63, -97, -48, 
4, -82, -87, 39, 46, -85, 24, 117, 34, -58, -87, -48, 
-4, -82, -78, 43, 36, -80, 39, 107, 34, -63, -92, -48, 
-14, -82, -68, 48, 26, -75, 43, 107, 39, -63, -97, -48, 
-14, -82, -68, 48, 26, -75, 43, 107, 39, -68, -102, -48, 
-14, -82, -68, 48, 26, -75, 43, 102, 39, -68, -107, -48, 
-24, -82, -58, 53, 17, -70, 43, 112, 29, -53, -102, -43, 
-24, -78, -53, 51, 14, -65, 43, 112, 29, -43, -92, -39, 
-24, -63, -39, 43, 7, -51, 43, 112, 34, -39, -87, -34, 
-34, -63, -29, 48, -2, -46, 43, 107, 34, -39, -78, -29, 
-43, -73, -29, 58, -7, -51, 43, 97, 29, -48, -87, -34, 
-48, -73, -24, 61, -12, -48, 43, 97, 29, -48, -92, -39, 
-48, -73, -24, 61, -12, -48, 39, 92, 24, -48, -97, -43, 
-43, -68, -24, 56, -9, -46, 34, 92, 19, -53, -97, -48, 
-29, -58, -29, 43, 0, -43, 19, 82, 19, -53, -82, -39, 
-29, -58, -29, 43, 0, -43, 19, 82, 19, -48, -82, -39, 
-29, -58, -29, 43, 0, -43, 19, 82, 19, -43, -82, -39, 
-24, -53, -29, 39, 2, -41, 19, 82, 19, -39, -82, -34, 
-14, -48, -34, 31, 9, -41, 4, 87, 24, -43, -92, -19, 
-14, -43, -29, 29, 7, -36, 4, 87, 24, -48, -92, -19, 
-9, -43, -34, 26, 12, -39, 4, 87, 24, -48, -82, -19, 
-9, -43, -34, 26, 12, -39, 9, 87, 24, -53, -82, -19, 
-4, -43, -39, 24, 17, -41, 14, 102, 34, -53, -82, -14, 
-4, -39, -34, 21, 14, -36, 24, 112, 48, -53, -78, -9, 
-4, -29, -24, 17, 9, -26, 39, 117, 53, -53, -78, -9, 
-4, -29, -24, 17, 9, -26, 48, 117, 53, -48, -78, -9, 
0, -29, -29, 14, 14, -29, 48, 112, 48, -48, -78, -9, 
4, -29, -34, 12, 19, -31, 48, 112, 43, -48, -82, -14, 
9, -24, -34, 7, 21, -29, 43, 112, 43, -48, -82, -14, 
14, -24, -39, 4, 26, -31, 43, 112, 43, -43, -78, -14, 
9, -19, -29, 4, 19, -24, 43, 122, 43, -53, -87, -14, 
4, -19, -24, 7, 14, -21, 43, 126, 43, -63, -87, -14, 
4, -19, -24, 7, 14, -21, 43, 126, 43, -73, -87, -9, 
0, -19, -19, 9, 9, -19, 48, 126, 48, -82, -87, -4, 
-9, -19, -9, 14, 0, -14, 58, 126, 48, -73, -82, -14, 
-9, -14, -4, 12, -2, -9, 53, 126, 48, -63, -82, -24, 
-9, -14, -4, 12, -2, -9, 53, 126, 48, -48, -78, -24, 
-14, -14, 0, 14, -7, -7, 53, 126, 48, -39, -73, -24, 
-4, -24, -19, 14, 7, -21, 43, 117, 53, -43, -78, -24, 
0, -24, -24, 12, 12, -24, 43, 117, 53, -53, -82, -24, 
0, -24, -24, 12, 12, -24, 43, 117, 53, -58, -82, -24, 
0, -24, -24, 12, 12, -24, 53, 122, 53, -63, -87, -24, 
0, -14, -14, 7, 7, -14, 43, 122, 53, -58, -92, -24, 
0, -14, -14, 7, 7, -14, 43, 122, 53, -53, -92, -34, 
0, -14, -14, 7, 7, -14, 43, 122, 48, -48, -92, -34, 
0, -14, -14, 7, 7, -14, 43, 122, 48, -43, -92, -34, 
0, -24, -24, 12, 12, -24, 53, 131, 63, -39, -78, -29, 
0, -24, -24, 12, 12, -24, 53, 131, 63, -34, -78, -29, 
0, -24, -24, 12, 12, -24, 53, 131, 63, -29, -73, -29, 
0, -24, -24, 12, 12, -24, 58, 131, 63, -14, -68, -29, 
0, -34, -34, 17, 17, -34, 58, 131, 58, -19, -78, -29, 
0, -29, -29, 14, 14, -29, 58, 131, 58, -29, -78, -29, 
-4, -29, -24, 17, 9, -26, 58, 136, 58, -34, -78, -29, 
-4, -29, -24, 17, 9, -26, 58, 136, 58, -39, -78, -29, 
-4, -19, -14, 12, 4, -17, 68, 136, 58, -53, -92, -34, 
-4, -19, -14, 12, 4, -17, 63, 136, 58, -53, -92, -34, 
0, -19, -19, 9, 9, -19, 63, 136, 58, -53, -92, -29, 
0, -19, -19, 9, 9, -19, 68, 136, 58, -53, -87, -29, 
0, -9, -9, 4, 4, -9, 58, 136, 58, -43, -97, -34, 
0, -14, -14, 7, 7, -14, 63, 136, 63, -43, -97, -39, 
0, -14, -14, 7, 7, -14, 63, 136, 63, -43, -97, -43, 
0, -14, -14, 7, 7, -14, 63, 136, 63, -43, -97, -48, 
9, -14, -24, 2, 17, -19, 63, 136, 63, -43, -97, -43, 
9, -14, -24, 2, 17, -19, 63, 136, 58, -43, -97, -39, 
9, -14, -24, 2, 17, -19, 63, 136, 58, -43, -97, -34, 
4, -14, -19, 4, 12, -17, 63, 141, 58, -43, -97, -29, 
4, -14, -19, 4, 12, -17, 63, 141, 68, -43, -97, -29, 
4, -24, -29, 9, 17, -26, 63, 141, 73, -43, -117, -39, 
4, -34, -39, 14, 21, -36, 68, 151, 78, -39, -107, -29, 
9, -24, -34, 7, 21, -29, 63, 165, 87, -34, -97, -29, 
14, -9, -24, -2, 19, -17, 68, 190, 92, -43, -97, -29, 
24, -9, -34, -7, 29, -21, 82, 248, 126, -39, -82, -29, 
34, 9, -24, -21, 29, -7, 122, 346, 185, -9, -68, -19, 
43, 29, -14, -36, 29, 7, 156, 492, 292, 14, -34, 0, 
68, 43, -24, -56, 46, 9, 204, 663, 400, 34, 0, 19, 
92, 58, -34, -75, 63, 12, 239, 780, 478, 43, 0, 29, 
102, 73, -29, -87, 65, 21, 248, 790, 512, 68, 9, 34, 
92, 63, -29, -78, 61, 17, 278, 727, 497, 78, 19, 43, 
82, 58, -24, -70, 53, 17, 322, 629, 463, 63, 24, 39, 
58, 34, -24, -46, 41, 4, 331, 395, 351, 34, 0, 19, 
39, 4, -34, -21, 36, -14, 312, -14, 161, 14, -9, 0, 
9, -19, -29, 4, 19, -24, 302, -429, -48, 4, -19, -14, 
-19, -34, -14, 26, -2, -24, 273, -771, -229, -14, -43, -9, 
-29, -53, -24, 41, -2, -39, 200, -1098, -448, -48, -68, -19, 
-43, -82, -39, 63, -2, -61, 107, -1410, -658, -78, -102, -39, 
-78, -97, -19, 87, -29, -58, 63, -1668, -819, -97, -136, -58, 
-117, -107, 9, 112, -63, -48, 82, -1878, -956, -102, -151, -73, 
-136, -112, 24, 124, -80, -43, 53, -2098, -1146, -102, -156, -92, 
-146, -87, 58, 117, -102, -14, -73, -2366, -1390, -112, -146, -73, 
-165, -73, 92, 119, -129, 9, -219, -2649, -1634, -126, -141, -58, 
-175, -63, 112, 119, -143, 24, -370, -2879, -1844, -156, -131, -48, 
-185, -29, 156, 107, -170, 63, -580, -3059, -2025, -165, -117, -48, 
-170, 19, 190, 75, -180, 104, -824, -3235, -2205, -146, -87, -29, 
-122, 73, 195, 24, -158, 134, -1122, -3406, -2396, -126, -53, 19, 
-48, 136, 185, -43, -117, 161, -1439, -3562, -2576, -136, -29, 73, 
53, 209, 156, -131, -51, 183, -1717, -3645, -2713, -156, -9, 102, 
146, 263, 117, -204, 14, 190, -1873, -3581, -2737, -156, 4, 136, 
204, 302, 97, -253, 53, 200, -1883, -3406, -2649, -136, 19, 175, 
268, 366, 97, -317, 85, 231, -1849, -3201, -2542, -107, 39, 224, 
356, 453, 97, -405, 129, 275, -1830, -3010, -2435, -63, 78, 273, 
419, 546, 126, -483, 146, 336, -1786, -2845, -2332, 0, 136, 336, 
448, 629, 180, -539, 134, 405, -1727, -2684, -2215, 43, 185, 400, 
507, 702, 195, -605, 156, 448, -1703, -2542, -2117, 73, 224, 458, 
522, 736, 214, -629, 153, 475, -1664, -2425, -2059, 68, 253, 502, 
478, 717, 239, -597, 119, 478, -1605, -2337, -2005, 48, 273, 517, 
424, 683, 258, -553, 82, 470, -1537, -2235, -1947, 48, 283, 527, 
346, 663, 317, -505, 14, 490, -1449, -2117, -1864, 68, 302, 546, 
248, 649, 400, -448, -75, 524, -1332, -1947, -1727, 82, 322, 556, 
141, 614, 473, -378, -165, 544, -1190, -1737, -1551, 122, 346, 556, 
87, 610, 522, -348, -217, 566, -1054, -1537, -1366, 170, 356, 536, 
68, 585, 517, -326, -224, 551, -951, -1361, -1210, 200, 351, 527, 
39, 546, 507, -292, -234, 527, -839, -1200, -1068, 170, 336, 488, 
-4, 497, 502, -246, -253, 500, -732, -1049, -932, 117, 283, 444, 
-34, 448, 483, -207, -258, 466, -634, -917, -814, 87, 224, 400, 
-48, 414, 463, -183, -256, 439, -551, -800, -712, 82, 204, 356, 
-48, 366, 414, -158, -231, 390, -473, -663, -600, 78, 170, 307, 
-48, 322, 370, -136, -209, 346, -390, -541, -488, 73, 136, 268, 
-58, 287, 346, -114, -202, 317, -331, -448, -405, 87, 141, 244, 
-68, 273, 341, -102, -204, 307, -278, -356, -336, 82, 141, 234, 
-68, 239, 307, -85, -187, 273, -214, -268, -253, 73, 112, 185, 
-68, 209, 278, -70, -173, 244, -161, -190, -185, 58, 73, 136, 
-63, 190, 253, -63, -158, 222, -126, -131, -141, 53, 29, 112, 
-63, 151, 214, -43, -139, 183, -78, -63, -87, 43, -4, 87, 
-58, 117, 175, -29, -117, 146, -29, 9, -24, 29, -19, 58, 
-48, 92, 141, -21, -95, 117, 0, 58, 19, 24, -24, 39, 
-29, 68, 97, -19, -63, 82, 29, 122, 58, 19, -34, 24, 
-14, 24, 39, -4, -26, 31, 63, 170, 97, 9, -34, 4, 
-9, -14, -4, 12, -2, -9, 87, 214, 122, -14, -43, -14, 
-14, -24, -9, 19, -2, -17, 92, 229, 136, -39, -78, -39, 
-9, -19, -9, 14, 0, -14, 92, 234, 151, -48, -78, -48, 
-9, -29, -19, 19, 4, -24, 97, 239, 151, -53, -73, -34, 
-14, -43, -29, 29, 7, -36, 97, 244, 151, -48, -73, -34, 
-14, -43, -29, 29, 7, -36, 107, 248, 161, -43, -78, -34, 
-14, -43, -29, 29, 7, -36, 107, 258, 165, -43, -82, -34, 
-14, -43, -29, 29, 7, -36, 107, 263, 165, -39, -82, -34, 
-14, -58, -43, 36, 14, -51, 112, 268, 161, -29, -87, -48, 
-14, -63, -48, 39, 17, -56, 112, 268, 170, -29, -102, -53, 
-14, -63, -48, 39, 17, -56, 112, 268, 170, -39, -107, -58, 
-14, -63, -48, 39, 17, -56, 117, 268, 170, -39, -112, -68, 
-24, -68, -43, 46, 9, -56, 126, 278, 180, -34, -107, -63, 
-24, -73, -48, 48, 12, -61, 131, 283, 180, -34, -102, -63, 
-34, -78, -43, 56, 4, -61, 131, 287, 180, -39, -92, -68, 
-34, -78, -43, 56, 4, -61, 131, 287, 180, -39, -87, -68, 
